title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Serving Draught Beer,If your looking for draught beers whilst in Orlando this is the place to go. They also have an extensive list of whisky an gin,December 2018,The Pub,https://www.tripadvisor.com/Restaurant_Review-g34515-d2550961-Reviews-The_Pub-Orlando_Florida.html,"Orlando, Florida",restaurants,4.0,4.0
Lovely relaxed atmosphere,"Visited Olive Garden whilst on holiday in Orlando. After a busy day in the parks we went in to have a meal. The staff were lovely, the food great. We thoroughly enjoyed our meal and will definitely return",December 2018,Olive Garden,https://www.tripadvisor.com/Restaurant_Review-g34515-d1631486-Reviews-Olive_Garden-Orlando_Florida.html,"Orlando, Florida",restaurants,5.0,4.5
"Great Food, great venu","I ate at this restaurant with my daughter. We had a lovely meal and the service was great. I love Thai food and really enjoyed the Chicken Penang Curry very much, would recommend to anyone. Well worth a visit",October 2018,Thaikhun,https://www.tripadvisor.com/Restaurant_Review-g186534-d8609130-Reviews-Thaikhun-Glasgow_Scotland.html,"Glasgow, United Kingdom",restaurants,5.0,4.0
Handy for Amsterdam,"This is a warm, clean and comfortable hotel. The staff are pleasant and very helpful. The hotel is a short walk from the station and 2 stops gets you into Amsterdam. There are lots of Restaurants and pubs nearby as well as supermarkets and shops. We enjoyed our stay in this hotel and will return again.",September 2017,Best Western Zaan Inn,https://www.tripadvisor.com/Hotel_Review-g188600-d1949641-Reviews-Best_Western_Zaan_Inn-Zaandam_North_Holland_Province.html,"Zaandam, The Netherlands",hotels,5.0,4.0
A Hidden gem,"This is a really nice place to hang out in the middle of Amsterdam. As well as the beautiful plants, large greenhouses,butterfly house it also has a lovely coffee house. Well worth a visit if you want to chill out. I always visit when I am in Amsterdam as there are lots of wee corners to sit and chill.",September 2017,Hortus Botanicus,https://www.tripadvisor.com/Attraction_Review-g188590-d244461-Reviews-Hortus_Botanicus-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",attractions,5.0,4.0
Great place to chill out,"This is a lovely space to chill out in and enjoy a coffee or light lunch. It is bright, clean with well trained helpful staff on hand. I love having a coffee here",September 2017,Orangery,https://www.tripadvisor.com/Restaurant_Review-g188590-d10529867-Reviews-Orangery-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",restaurants,5.0,4.5
"Nice meal , helpful staff","We went to this restaurant while we were staying in Zaandam. We had a lovely dinner and although busy we did not feel rushed, the staff were great. Well worth a try if you are in the area",September 2017,Portofino,https://www.tripadvisor.com/Restaurant_Review-g188600-d747484-Reviews-Portofino-Zaandam_North_Holland_Province.html,"Zaandam, The Netherlands",restaurants,4.0,3.5
Lovely Cafe. great coffee,"Great coffee, great staff and free Wi-Fi what more could you ask. Try the cookies they are great too",September 2017,De Koffiezaak,https://www.tripadvisor.com/Restaurant_Review-g188600-d6921662-Reviews-De_Koffiezaak-Zaandam_North_Holland_Province.html,"Zaandam, The Netherlands",restaurants,5.0,4.5
Dropped in for a beer,"Dropped in for a beer whilst out walking in Amsterdam. As usual for a Hard Rock, the atmosphere was great with come good music playing. Had a lovely beer and a chill out",September 2017,Hard Rock Cafe,https://www.tripadvisor.com/Restaurant_Review-g188590-d1010937-Reviews-Hard_Rock_Cafe-Amsterdam_North_Holland_Province.html,"Amsterdam, The Netherlands",restaurants,5.0,4.0
Lovely Space,"This cafe is situated in a lovely space with stunning views overlooking the sea at Lerwick. The coffee and cakes are great, the staff lovely if a bit slow. The atmosphere is relaxed and welcoming. The furniture needs a lot more TLC as many of the seats and tables are showing signs of wear and are badly in need of replacement. However a great place to go on a rainy day. With free Wi-Fi it's a great place to check the emails or do some computer work. Well worth a visit",August 2017,Mareel Cafe bar,https://www.tripadvisor.com/Restaurant_Review-g190781-d3706424-Reviews-Mareel_Cafe_bar-Lerwick_Mainland_Shetland_Islands_Scotland.html,"Mainland, United Kingdom",restaurants,4.0,3.5
Lovely Views,"Fort Charlotte is in the Centre of Lerwick and easy to access. The views are great as you can watch the boats come and go in the harbour below, It's lovely on a good day but it can be windy. Could do with a few seats so visitors can enjoy the space. For those of you who play Pokemon Go there are 3 Pokestops in the Fort and a Gym nearby!",August 2017,Fort Charlotte,https://www.tripadvisor.com/Attraction_Review-g190781-d7274740-Reviews-Fort_Charlotte-Lerwick_Mainland_Shetland_Islands_Scotland.html,"Mainland, United Kingdom",attractions,3.0,3.5
Very Interesting Exhibition,This is a well laid out interesting museum that is close to the centre of Lerwick. I have visited this museum a few times and I always learn something new. A great way to spend a rainy day. There is something for all the family,August 2017,Shetland Museum and Archives,https://www.tripadvisor.com/Attraction_Review-g190781-d2233664-Reviews-Shetland_Museum_and_Archives-Lerwick_Mainland_Shetland_Islands_Scotland.html,"Mainland, United Kingdom",attractions,4.0,5.0
Home from Home,"This is the second time of staying here and it has been just as enjoyable as the last time. The rooms are warm,clean and very comfortable. The breakfast is excellent and is served in a lovely, bright welcoming breakfast room. The welcome is always warm and Jim and Lynne really make every effort to make your stay great. Well done guys",August 2017,Fort Charlotte Guest House,https://www.tripadvisor.com/Hotel_Review-g190781-d533062-Reviews-Fort_Charlotte_Guest_House-Lerwick_Mainland_Shetland_Islands_Scotland.html,"Mainland, United Kingdom",hotels,5.0,5.0
The place for Fish and Chips,"I have been to this cafe on a previous trip and was looking forward to eating in this cafe since I booked my trip to Shetland. It did not disappoint, the fish and chips were amazing. It is a small cafe but clean and well run. It's a cash only place so remember to bring your purse /wallet with you",August 2017,Fort Cafe & Take Away,https://www.tripadvisor.com/Restaurant_Review-g190781-d2324917-Reviews-Fort_Cafe_Take_Away-Lerwick_Mainland_Shetland_Islands_Scotland.html,"Mainland, United Kingdom",restaurants,5.0,4.5
Well worth a visit,I have been here before with my husband but this time took the family as well. We had a great meal. Relaxed atmosphere and great selection of dishes. Would recommend to anyone,August 2017,China Red,https://www.tripadvisor.com/Restaurant_Review-g186525-d8430364-Reviews-China_Red-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",restaurants,5.0,4.0
Well done - Again,Have visited the Tattoo a few times and this year it was amazing - as always. Really appreciated how the different musicians and dancers worked together to create a wonderful experience. This year they have outdone themselves,August 2017,The Royal Edinburgh Military Tattoo,https://www.tripadvisor.com/Attraction_Review-g186525-d8820202-Reviews-The_Royal_Edinburgh_Military_Tattoo-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",attractions,5.0,5.0
Lovely Weekend - Thanks,"My husband and I went to this hotel for an overnight stay, a present from my daughters. The room was clean and warm with a beautiful view of the gardens. Centrally placed for all the tourist spots it was great. We had both dinner and breakfast which were most enjoyable. The breakfast buffet is one of the best I have seen in a while",August 2017,Mercure Edinburgh City Princes Street Hotel,https://www.tripadvisor.com/Hotel_Review-g186525-d192441-Reviews-Mercure_Edinburgh_City_Princes_Street_Hotel-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",hotels,5.0,3.5
Beautiful surroundings and excellent food,We recently had a meeting with our business partners. The food and service were excellent. The desserts were exquisite.,June 2017,Chaophraya,https://www.tripadvisor.com/Restaurant_Review-g186534-d3324172-Reviews-Chaophraya-Glasgow_Scotland.html,"Glasgow, United Kingdom",restaurants,5.0,4.0
Lovely Staff let down by poor maintenance,"I booked a Spa day here but was disappointed however there were some positives

Positives:
Friendly Staff
Nice Lunch
Good Massage

Negatives
The place was cold - very cold for a spa retreat. The ladies toilet on the half-landing had a hold in the window through which the wind howled. There had at some time been a ventilating fan which was now disconnected but the fins were all broken which basically meant that there was a hole through which you could see the house opposite. NEWSFLASH - what are you thinking guys get it fixed a hole in the window of the ladies toilet area is totally unacceptable. On top of this the air con in the changing rooms was blowing cold air. Your maintenance guys are really letting you down. I left before I got my second treatment of the day because I was so cold. Would I go back? Definitely not in the winter time!",March 2017,The Stirling Highland Hotel,https://www.tripadvisor.com/Hotel_Review-g191266-d191737-Reviews-The_Stirling_Highland_Hotel-Stirling_Scotland.html,"Stirling, United Kingdom",hotels,2.0,4.0
