username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags
Castlewolf,,,Stoke-on-Trent-United Kingdom,2017,12,57,6,1,1,9,20,26,[]
Englishmanonholiday,man,50-64,Loxwood-United Kingdom,2008,89,113,6,1,14,21,26,51,[]
suzyw699,,,,2016,2,2,1,,,,,,[]
RRaposoMiami,,,Miami-Florida,2018,281,232,6,0,0,7,127,106,[]
ChineseForFamilies,,,Philadelphia-Pennsylvania,2011,13,24,4,0,0,0,0,31,[]
BalkrishnaShroff,man,,Mumbai-India,2009,269,003,6,6,9,50,263,740,"['Vegetarian', 'Foodie', 'Urban Explorer', 'Nature Lover']"
858ginah,,,,2018,,3,1,0,0,0,0,3,[]
miascarlett,,,Great Torrington-United Kingdom,2010,35,32,4,1,1,1,2,27,[]
BenSmith21,,,Auckland-New Zealand,2015,27,99,6,4,2,3,11,79,[]
m0rganaj0nes,,,Seattle-Washington,2018,5,14,3,0,1,1,5,7,[]
GilbertJawhar,,,Beirut-Lebanon,2013,28,68,5,4,4,15,28,17,[]
986teris,,,,2010,5,4,1,0,0,0,0,4,[]
NiksClicks1,woman,35-49,Chelmsford-United Kingdom,2010,39,35,4,0,0,9,13,16,[]
K3322NTelizabethm,,,Seattle-Washington,2017,69,88,5,0,0,6,39,45,[]
Arrived69,woman,50-64,Melbourne-Australia,2012,60,44,4,0,2,7,22,13,[]
ghazel1231,,,Tampa-Florida,2018,220,114,6,0,2,10,31,76,[]
IncaAngel,woman,50-64,Ames-Iowa,2009,261,190,6,2,10,28,51,105,[]
alexadini,woman,35-49,Bucharest-Romania,2009,133,61,6,2,1,10,14,36,[]
laoQ80,,,Raleigh-North Carolina,2016,58,103,6,1,0,13,43,48,[]
Lms_La,,,Arlington-Texas,2008,51,72,5,1,1,4,14,57,[]
Paul050,man,50-64,Wiltshire,2009,11,10,3,0,3,1,3,4,[]
118ronnies,,,Hong Kong-China,2018,8,10,4,0,0,1,5,7,[]
KateC1999,,,Henley-on-Thames-United Kingdom,2016,50,107,6,1,4,12,31,59,[]
KanicaM2,Woman,,Singapore-Singapore,2016,14,34,4,0,0,3,13,18,[]
rehley,,,Minneapolis-Minnesota,2007,33,54,5,0,4,4,19,28,[]
ILoveBreck,,,Colorado Springs-Colorado,2017,105,12,3,0,0,1,1,10,[]
pmaxh,,,Tanjung Benoa-Indonesia,2017,4,16,3,2,1,0,7,7,[]
Olliesally,,,London-United Kingdom,2012,32,49,5,0,0,5,15,29,[]
abuelna13,Woman,,Crystal Lake-Illinois,2009,78,49,5,0,1,5,13,32,[]
greektraveller13,woman,50-64,Cardiff-United Kingdom,2010,62,91,5,17,10,6,3,59,[]
BLec23,man,35-49,Australia,2012,54,96,6,4,1,3,9,80,[]
yukobrown,,,Daly City-California,2012,177,10,3,0,1,2,3,5,[]
bearonblades,,,Richmond-Canada,2007,165,28,4,0,0,1,6,21,[]
chidambaranathant,man,50-64,Doha-Qatar,2014,63,232,6,11,14,47,99,63,[]
camusaqua,woman,35-49,Jakarta-Indonesia,2015,51,145,6,0,1,32,100,13,[]
yewengw2018,man,35-49,new york city,2007,267,164,6,18,10,20,27,89,[]
G9914GPchrish,man,,Blackburn-United Kingdom,2013,16,47,5,1,0,0,4,45,[]
Q5510HFfrankp,,,,2016,3,4,2,0,0,0,1,4,[]
24551,,,Forest-Virginia,2011,35,60,5,6,2,6,9,43,[]
dara_farrelly,man,35-49,Rathmullan-Ireland,2010,42,37,4,0,0,3,6,29,[]
Odusseus1000,Man,,Cave Creek-Arizona,2008,106,216,6,37,22,32,21,111,[]
Osahonsam,,,Houston-Texas,2014,27,56,6,1,0,5,25,26,[]
thecriticalassessor,,,Sydney-Australia,2013,10,13,3,1,5,2,1,4,[]
mahwishz,,,,2014,51,94,6,0,3,14,46,31,[]
NorthStar497804,,,,2013,2,3,1,0,0,1,1,2,[]
janetv579,Man,,Sarnia-Canada,2012,6,13,3,2,0,1,2,8,[]
lifrlp,,,,2014,18,36,4,1,3,4,14,14,[]
GarethThomson,,,Norwich-United Kingdom,2014,54,68,5,3,3,10,17,38,[]
hahabon,woman,35-49,Singapore-Singapore,2017,22,32,5,0,0,3,3,30,[]
MH549,,50-64,Perth-Australia,2011,78,41,5,2,6,9,17,14,['Family Vacationer']
63CarolineS,woman,50-64,Richmond-upon-Thames-United Kingdom,2013,74,139,6,3,4,18,45,72,"['Foodie', 'Urban Explorer', 'History Buff', 'Thrill Seeker']"
801vickyy,,,,2018,10,23,4,1,0,1,7,16,[]
SusanA136,Woman,,Tavernier-Florida,2011,332,608,6,6,38,218,335,20,[]
martinj386,man,25-34,Levice-Slovakia,2014,251,536,6,3,15,86,173,259,[]
241pietrof,,,Basel-Switzerland,2015,18,91,5,14,11,18,24,25,[]
lennym96,,,Weyhe-Germany,2015,8,23,4,1,1,2,7,12,[]
