username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags
erichB9853VN,man,35-49,Virginia,2015,70,18,4,0,0,3,2,15,[]
GinKaiSilver,,,Singapore-Singapore,2015,49,301,6,0,12,55,135,100,[]
ReadyJetRoam,man,35-49,Playa del Carmen-Mexico,2009,402,158,6,1,7,10,34,109,[]
_4khushbu,,,Vadodara-India,2018,18,35,4,0,0,5,13,17,[]
F9428FQpaulf,man,50-64,Locmaria-Plouzane-France,2009,79,114,6,0,4,9,38,63,[]
mmeyers477,,,,2017,50,209,6,1,4,18,55,141,[]
shimshim2018,,,Sunnyvale-Texas,2018,6,8,2,0,0,0,4,4,[]
KBlock,,,Kissimmee FL,2009,6,12,3,0,0,1,6,5,[]
sollys786,,,Durban-South Africa,2012,17,45,4,1,4,2,30,9,[]
GoingFarFarAway,man,50-64,Tampa-Florida,2009,477,547,6,7,16,103,244,177,[]
tomj932,man,18-24,London-United Kingdom,2014,180,290,6,4,3,105,550,641,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer', 'Like a Local']"
CharlotteR846,woman,50-64,Oakville-Canada,2011,189,159,6,3,4,26,45,82,[]
rachelboyea,,,Malone-New York,2018,19,31,4,0,0,2,3,26,[]
christlyzonneveld,,,The Hague-The Netherlands,2018,,4,1,0,1,0,0,3,[]
KellyenEmilyJoA,,,Hengelo-The Netherlands,2016,10,16,4,1,1,1,3,10,[]
853tarynp,woman,50-64,Peru-Indiana,2015,7,12,3,0,0,1,2,10,[]
d0rianneg,woman,35-49,Johannesburg-South Africa,2014,201,252,6,0,5,12,55,185,"['Art and Architecture Lover', 'Urban Explorer', 'Nature Lover', 'Thrifty Traveler']"
Dionysios14,man,35-49,Addis Ababa-Ethiopia,2010,441,39,5,0,1,2,14,22,[]
TravelingLamas91717,woman,25-34,Pompano Beach-Florida,2014,40,117,6,6,10,28,29,52,[]
giedriusgriska,man,50-64,Vilnius-Lithuania,2014,378,79,6,0,0,8,32,39,[]
yurybulgakov,,,St. Petersburg-Russia,2009,101,25,4,1,1,1,6,17,[]
J1908LV_,,,,2016,6,19,3,2,0,1,4,12,[]
davidaM1255PM,,,,2016,48,192,6,1,2,15,63,111,[]
hdhchicago,,,Chicago-Illinois,2018,30,23,4,1,3,3,3,15,[]
Aetherovamon,woman,35-49,Athens-Greece,2012,44,84,5,0,1,3,26,57,[]
anthonyaB9540XY,,,Perth-Australia,2011,107,34,4,1,0,2,9,23,[]
starla729,woman,35-49,Burlington-Connecticut,2010,75,144,6,0,0,5,29,113,[]
James_wu,man,35-49,Vaughan-Canada,2010,199,149,6,3,3,29,66,50,[]
PrincessStephanie01,,,Melbourne-Australia,2016,60,134,6,2,1,12,40,81,[]
comesailwithme321,,,,2018,15,19,3,2,1,3,3,11,[]
charlotte-1404,woman,25-34,Cardiff-United Kingdom,2009,42,38,5,0,1,0,3,35,[]
tiberiuivan,man,25-34,Galati-Romania,2011,72,142,6,8,3,10,50,72,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer', 'Nature Lover']"
Nenners56,man,50-64,Ledbury-United Kingdom,2010,150,459,6,0,1,14,178,271,[]
Citizen_Stu,woman,35-49,Eindhoven-The Netherlands,2007,111,166,6,5,10,30,65,57,"['Vegetarian', 'Luxury Traveler']"
GreyGrandad,man,,Wolverhampton-United Kingdom,2013,142,374,6,5,11,44,149,167,"['Foodie', 'Urban Explorer', 'Like a Local', 'History Buff']"
ninabE4919OT,,,Memphis-Tennessee,2017,95,76,5,2,7,9,12,48,[]
Arnie270,,,Israel,2008,49,45,4,1,3,1,8,32,[]
jmq91,,,Manchester-United Kingdom,2009,11,16,3,0,0,2,3,11,[]
HarriHirvela,man,50-64,Imatra-Finland,2008,316,224,6,0,2,48,121,53,[]
618redhaa,,,,2013,49,3,1,0,0,0,0,3,[]
ElexPeeters,,,Chicago-Illinois,2015,31,96,5,0,3,8,33,53,[]
bengiyles,,,,2012,552,211,6,6,22,48,105,43,[]
Danyela919,,,Deva-Romania,2018,9,11,3,0,0,0,2,9,[]
412murrayf,,,Brussels,2016,22,61,5,2,0,1,20,40,[]
Mikie31,man,50-64,Watford-United Kingdom,2012,199,86,6,0,0,2,54,34,['Thrifty Traveler']
merlotp,man,,Charlotte-North Carolina,2013,166,727,6,4,20,119,314,272,[]
Trvlr_USUK,man,35-49,London-United Kingdom,2011,115,160,6,0,2,5,77,78,[]
qqnny,man,50-64,London-England,2008,60,51,5,0,1,2,16,33,[]
JeremySkvor,,,Montreal-Canada,2018,2,2,1,,,,,,[]
karlom636,,,Luzon-Philippines,2012,5,9,3,0,1,3,4,1,[]
223bretta,Man,,Vancouver-Canada,2007,126,46,4,0,5,9,22,10,[]
RJPlum,,,Los Angeles-California,2013,115,55,5,0,4,14,27,12,[]
697ellah,,,Kidderminster-United Kingdom,2013,8,17,3,1,0,0,4,12,[]
Ray519,man,50-64,Belwood-Canada,2012,75,147,6,1,6,15,55,72,[]
778jamesa,,,Coulsdon-Surrey,2013,25,57,5,0,0,0,4,53,[]
trip_n_trek,man,35-49,Lancaster-Pennsylvania,2015,26,94,6,2,8,13,32,40,[]
James_A_017,man,13-17,Johannesburg-South Africa,2017,17,11,3,1,0,3,2,5,[]
lucianp242,,,,2016,12,24,4,3,4,4,3,10,[]
gerigandingco,,,Houston-Texas,2016,2,6,2,1,1,1,0,5,[]
sfobes,Woman,,San Francisco-California,2012,38,71,5,0,3,4,7,57,[]
reich45,man,50-64,Poole-United Kingdom,2005,144,43,4,3,4,2,6,28,"['Foodie', 'Urban Explorer', 'Like a Local', 'History Buff']"
Beach-Dew,woman,35-49,Malaga-Spain,2014,515,291,6,5,7,20,50,210,[]
AnnaGrise,,,Ontario-Canada,2013,117,126,6,0,0,6,37,87,"['Foodie', 'Nature Lover', '60+ Traveler', 'Beach Goer']"
anjanaw14,,,,2016,14,26,4,0,1,6,14,5,[]
skipitgood,woman,25-34,Roswell-Georgia,2008,257,208,6,1,5,38,76,88,[]
kittykatbrown,,,Southampton-United Kingdom,2009,112,86,5,0,2,10,41,38,[]
TravelSinceRetired,man,,Vancouver-Washington,2004,104,282,6,0,20,75,111,81,[]
carlabP110PM,Woman,,Marietta-Georgia,2016,25,91,6,2,2,7,29,59,[]
panagiotisk703,,,Greece,2014,63,296,6,11,19,21,54,191,[]
alexisc126,,,Manchester-United Kingdom,2015,17,34,5,1,3,4,12,14,[]
SharonJanmesh,,,Sri Lanka,2017,16,17,4,0,0,0,15,3,[]
KingstonMom_11,Woman,,Kingston-Canada,2011,34,88,6,0,1,9,31,51,[]
334srinivask,,,,2017,4,8,2,0,0,0,0,8,[]
septicgeo,man,,Gympie-Australia,2013,23,53,5,1,0,1,6,46,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer', 'History Buff']"
356paulf,,,Newcastle-Australia,2014,38,41,4,0,0,2,26,13,[]
Comtesse23,woman,25-34,Istanbul-Turkey,2010,93,12,4,1,0,0,3,8,[]
gilliand71,,,,2018,6,11,3,0,1,0,4,7,[]
RobandCarol,,50-64,Molyvos-Greece,2009,65,15,6,0,0,0,2,14,"['Like a Local', 'Nature Lover', 'Peace and Quiet Seeker']"
smithat2018,,,London-United Kingdom,2007,52,20,4,0,0,1,2,17,[]
Bee007boss,,,Manchester-United Kingdom,2012,26,58,5,2,1,2,7,46,[]
darjay2017,,,,2017,14,35,5,1,0,4,15,15,[]
syazanak2014,,,,2014,21,18,3,0,0,2,6,10,[]
Benamard,man,35-49,Rehovot-Israel,2011,160,649,6,6,26,97,188,337,"['Foodie', 'Urban Explorer', 'Shopping Fanatic', 'Family Vacationer']"
HVJ5,woman,35-49,Pune-India,2016,3,4,1,0,0,0,0,4,[]
ChristianL140,man,25-34,Berlin-Germany,2011,303,12,3,0,0,0,4,9,[]
chickengirly,,,,2012,6,24,3,0,1,5,12,6,[]
munird2014,Man,,Toronto-Canada,2014,147,460,6,0,7,56,220,198,[]
cedrbal,man,25-34,Island of Malta-Malta,2011,215,83,5,6,7,13,5,52,[]
294jeanpierrek,,,,2014,7,8,3,1,0,3,2,3,[]
MoodyMaude20,woman,35-49,Manchester-England-United Kingdom,2012,9,16,4,0,0,2,5,9,[]
happyheartcreations,,35-49,Croissy-sur-Seine-France,2008,238,422,6,2,13,51,174,188,[]
W4400KRjohnb,man,,Liverpool-United Kingdom,2014,3,5,2,0,0,1,1,3,[]
SareySue,woman,35-49,United Kingdom,2013,82,20,3,0,1,1,3,16,"['Art and Architecture Lover', 'Foodie', 'History Buff', 'Nature Lover']"
gageanug,,,Bucharest-Romania,2016,4,6,2,1,0,0,0,5,[]
Sanka1,man,25-34,Buckinghamshire-United Kingdom,2014,212,542,6,10,24,68,103,340,[]
Fynnrees,,,Auckland-New Zealand,2017,17,31,4,0,0,6,21,6,[]
kathleenmf,woman,35-49,Boston-Massachusetts,2010,38,68,5,1,2,4,14,47,[]
rajoras,man,35-49,Kota-India,2013,87,70,5,1,0,7,29,35,[]
eleeshag,,,,2015,3,8,3,1,1,1,3,2,[]
samwJ7519AU,,,Brisbane-Australia,2018,25,74,5,3,1,13,28,35,[]
denisl971,man,50-64,Gatineau-Canada,2013,69,48,5,1,0,5,18,24,[]
sblu1797,,,,2018,2,5,2,0,0,0,0,5,[]
ejl1987,Woman,,New York City-New York,2016,6,9,3,0,1,0,2,7,[]
KevinRayment,,,Welwyn-United Kingdom,2016,193,737,6,4,16,141,309,274,[]
travelnmatt,man,50-64,California,2010,126,136,6,1,4,14,40,88,[]
janebG2415CQ,,,Swindon,2009,41,87,5,0,0,7,57,26,[]
CharMadden15,,,Dublin-Ireland,2012,20,81,6,6,5,8,30,32,[]
sansg,,,Johor Bahru-Malaysia,2009,8,8,3,0,1,1,5,3,[]
_Z9963DM,,,,2018,,,,,,,,,[]
janec2269PA,woman,50-64,Philadelphia-Pennsylvania,2015,68,196,6,3,2,2,30,162,[]
nycshine1,,,,2017,41,57,5,0,1,6,19,33,[]
JGFIELD,,,London-United Kingdom,2008,184,548,6,2,2,33,134,379,[]
james470,man,50-64,Fujairah-United Arab Emirates,2013,151,99,6,0,2,25,65,13,"['History Buff', 'Nature Lover', 'Family Vacationer']"
MihaiRomania,,,Bucharest-Romania,2016,37,65,5,1,6,4,18,39,[]
I4109YWgaryl,,,,2013,3,2,1,,,,,,[]
MixaylB,man,25-34,Hazmieh-Lebanon,2018,125,191,6,0,3,15,56,118,[]
kimbayley,Woman,,Beaulieu-United Kingdom,2012,345,211,6,1,10,26,107,71,[]
marennarose,,,,2017,10,20,4,0,0,2,8,10,[]
HaraldJ564,man,50-64,Vasteras-Sweden,2013,242,214,6,1,8,52,123,30,[]
dorke222,,,,2018,2,3,1,0,0,0,1,3,[]
Anne1535,,,Sandy Hook-Connecticut,2012,5,8,2,0,1,0,0,7,[]
Bbpeg,,,,2017,47,132,6,2,4,17,66,43,[]
DrNoelle,,,Los Angeles-California,2016,6,19,4,0,1,1,3,14,[]
sofin895,woman,35-49,Athens-Greece,2011,204,418,6,5,45,406,836,158,"['History Buff', 'Luxury Traveler']"
Jackpack60,,,Billingshurst-United Kingdom,2011,78,21,4,0,0,1,11,9,[]
Rolf_engholm,,,Kingston-Jamaica,2012,165,8,2,0,0,0,1,7,[]
Normad800,woman,,Bedfordshire-United Kingdom,2013,77,72,5,0,0,1,17,53,[]
zsamot,man,50-64,Toronto-Canada,2009,9,14,3,1,1,2,0,10,[]
482aidans,,,Bolingbrook-Illinois,2012,7,16,3,0,0,0,0,16,[]
309ahmedy,,,,2016,7,11,3,0,2,3,3,3,[]
Thurgav,,,Roskilde-Denmark,2010,107,94,6,1,0,5,28,60,[]
nektariosk578,,,Bexhill-on-Sea-United Kingdom,2017,,2,,,,,,,[]
JohnfromJersey2002,,,Philadelphia-Pennsylvania,2011,7,12,3,0,0,0,3,9,[]
G5935AD_,,,,2018,2,4,1,0,0,0,0,4,[]
agatadolores95,,,Miami-Florida,2018,3,14,3,0,0,0,1,13,[]
ChrisW5089,,,,2012,275,8,2,0,0,0,2,7,[]
martinas654,,,Pisa-Italy,2014,13,19,3,0,0,0,1,18,[]
lutherm07,,,St. Louis-Missouri,2007,45,52,5,0,0,5,13,34,[]
trip647,,,New York City-New York,2017,79,194,6,0,0,1,11,182,[]
Keydawn,man,50-64,Washington DC-District of Columbia,2011,164,180,6,8,17,58,50,54,[]
Hipp13,,,San Pedro Sula-Honduras,2016,29,51,5,1,2,7,16,28,[]
Raffik00001,man,35-49,Rumia-Poland,2010,156,481,6,0,11,75,343,55,"['Foodie', 'Like a Local', 'Shopping Fanatic']"
purtzki,man,35-49,Konigstein im Taunus-Germany,2010,30,56,5,2,2,7,12,33,[]
Vandenbrouckeb,man,50-64,Kortrijk-Belgium,2011,72,217,6,2,7,28,132,50,[]
EG962,,,Cambridge-United Kingdom,2012,6,10,3,0,0,0,0,10,[]
garymN1141HE,,,,2017,20,59,5,0,2,2,28,27,[]
reisinigalepoole,,,,2018,11,6,2,0,0,0,0,6,[]
DJBorja,,25-34,Bavaria-Germany,2016,11,13,3,0,0,0,5,9,[]
Raqmon,,,Victoria-Texas,2016,3,4,1,0,0,0,0,4,[]
drsorindanc,Man,,Pitesti-Romania,2013,17,39,5,0,0,0,13,26,"['Urban Explorer', '60+ Traveler', 'Peace and Quiet Seeker']"
956louiseb,,,,2014,8,24,3,0,0,1,4,19,[]
shutterbabe0106,,,Washington DC-District of Columbia,2011,80,76,6,0,4,12,17,48,[]
cathycathy5,Woman,,Rouse Hill NSW Australia,2008,370,130,6,0,1,5,24,103,[]
vikij967,,,Seattle-Washington,2018,4,7,2,0,1,0,1,7,[]
Ronald-2014trip,,,Dbaieh,2014,20,33,5,1,0,1,8,23,[]
nasrinm2014,,,,2014,11,38,4,0,0,1,7,30,[]
jessicakV7700GP,,,,2016,8,20,3,1,1,3,2,13,[]
alexaV8255EX,,,,2018,,2,1,,,,,,[]
matthewcZ7498WR,man,35-49,Reigate-United Kingdom,2015,99,367,6,1,15,61,121,170,[]
993Don1981,,,Johannesburg-South Africa,2013,90,71,5,0,1,7,30,34,[]
joo31,woman,25-34,London-United Kingdom,2010,158,279,6,1,2,40,117,121,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer', 'Like a Local']"
ramonaoana,Woman,,Bucharest-Romania,2015,20,63,5,1,2,7,17,36,[]
alis898,man,35-49,Atlanta-Georgia,2013,64,28,4,0,0,2,7,20,[]
chellephant82,,,Burnham-United Kingdom,2016,15,53,5,1,0,4,10,38,[]
MiMischa,,,Lansing-Michigan,2010,38,92,6,3,0,6,5,82,[]
H5090AFcarlosg,man,50-64,New York City-New York,2009,312,44,5,7,1,2,4,30,[]
ghufranas,,,,2016,6,14,3,0,1,2,4,7,[]
ZGastronomer,Man,,Cairo-Egypt,2016,33,429,6,4,20,154,230,33,"['Foodie', 'Shopping Fanatic', 'Nightlife Seeker', 'Nature Lover']"
MB201065,woman,50-64,Worcestershire-UK,2010,326,266,6,2,5,28,68,166,"['Like a Local', 'History Buff']"
Chelss215,,,Washington DC-District of Columbia,2015,60,189,6,3,8,12,61,105,[]
KayleighT50,,,,2007,3,9,3,0,0,0,2,7,[]
JimmytheJedi,,,London-United Kingdom,2012,27,52,5,0,0,1,11,40,[]
European-Bookworm,Woman,,Swindon-United Kingdom,2013,91,173,6,1,5,11,64,94,[]
shannons2018,,,San Antonio-Texas,2015,16,31,4,0,0,1,8,25,[]
Gulfcoasters,,,Nebraska,2009,63,149,6,0,2,15,56,77,[]
418brigidap,Woman,,New York City-New York,2017,13,28,4,0,0,0,7,22,[]
aurorac936,,,Barcelona,2012,3,7,2,0,0,0,0,8,[]
SueS838,,,Weston super Mare-United Kingdom,2012,48,60,5,0,0,0,1,59,[]
Kezza13_2017,,,Romford-United Kingdom,2017,12,29,4,0,1,0,5,23,[]
aeholland,woman,25-34,London-United Kingdom,2013,70,93,6,0,1,9,24,59,"['Urban Explorer', 'Shopping Fanatic', 'Nightlife Seeker', 'Beach Goer']"
Centuria_Krk,woman,25-34,Dubai-United Arab Emirates,2010,229,197,6,1,11,16,49,120,[]
V7469LElaurak,,,,2015,,2,2,,,,,,[]
361sethuk,,,,2018,6,13,3,0,0,2,0,11,[]
pagonzo,Man,,Crofton-Maryland,2015,64,164,6,6,4,39,39,76,[]
866lenf,,,,2017,4,6,2,0,0,0,0,6,[]
Jesse_Hamman,woman,25-34,South Africa,2015,28,51,5,4,2,6,29,10,[]
alexpY4149GQ,man,18-24,Moscow-Russia,2015,33,97,6,1,0,3,2,91,[]
AdamsTheGourmet,,,,2018,2,3,2,0,0,1,0,2,[]
SteveR772,,,Toddington-United Kingdom,2011,41,103,6,1,2,11,36,52,[]
kr00ney,,,Livermore-California,2017,5,9,3,0,1,0,6,4,[]
LBHouston11,woman,,Houston-Texas,2008,147,473,6,8,9,31,130,300,[]
252sevagd,,,Yerevan-Armenia,2016,114,74,5,1,0,2,9,62,[]
YuktiAgrawal,woman,35-49,Dubai-United Arab Emirates,2007,148,206,6,2,1,11,65,128,[]
suchagirl,woman,50-64,Manassas-Virginia,2008,108,147,6,3,6,16,42,90,[]
Logmarine,,,Stafford-Virginia,2014,26,56,5,1,0,7,24,24,[]
KenLgrumpyman,,,London-United Kingdom,2015,113,70,6,1,1,6,25,38,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer']"
willemb89,man,25-34,Sydney-Australia,2010,864,474,6,1,5,63,198,208,[]
SteveS955,Man,,San Antonio,2013,115,265,6,1,6,33,91,138,"['Like a Local', 'Beach Goer', 'Thrifty Traveler', 'Family Vacationer']"
43sharie,,,,2018,3,10,3,0,0,0,0,10,[]
gorbi57,man,50-64,Markopoulo Mesogeas-Greece,2012,95,63,5,5,6,14,23,18,[]
X962MBlindam,Woman,,Washington DC-District of Columbia,2014,6,10,3,0,0,0,3,7,[]
TDas1,woman,25-34,Bhubaneswar-India,2011,11,18,4,3,0,1,4,11,[]
TTle888,,,London-United Kingdom,2012,123,54,5,0,2,14,13,25,"['Art and Architecture Lover', 'Like a Local', 'History Buff', 'Nature Lover']"
doug88888,man,35-49,London-United Kingdom,2009,172,189,6,8,13,32,72,70,[]
FLworldwanderer,Man,,Tampa-Florida,2011,667,852,6,0,5,64,360,426,[]
AyeshaB786,Woman,,Johannesburg-South Africa,2014,16,31,4,0,0,6,12,13,"['Foodie', 'Shopping Fanatic', 'Nature Lover', 'Peace and Quiet Seeker']"
141yulianah,,,,2018,52,183,6,1,2,24,66,90,[]
Karine9972,woman,35-49,Coral Springs-Florida,2014,49,58,5,0,1,7,20,31,[]
grwpl,,,Munich-Germany,2013,318,127,6,11,55,357,629,129,"['Foodie', 'Nature Lover', 'Peace and Quiet Seeker', 'Luxury Traveler']"
George1205050505,man,35-49,Leeds-United Kingdom,2012,69,59,5,2,4,12,14,32,[]
JLWK2015,,,Ponte Vedra Beach-Florida,2008,118,311,6,10,44,88,79,99,[]
K8515BJdang,man,,Vail-Arizona,2017,481,182,6,0,2,6,36,144,"['60+ Traveler', 'Peace and Quiet Seeker', 'Beach Goer']"
Strabulsi,Woman,,Riyadh-Saudi Arabia,2013,30,48,5,0,2,1,15,30,[]
757bettyf,,,Houston-Texas,2014,53,157,6,0,4,8,40,110,"['Art and Architecture Lover', 'Nature Lover', 'Peace and Quiet Seeker']"
jimdI6844CW,,,Falcon-Colorado,2016,140,72,5,0,18,13,30,12,[]
InsikJasmine,woman,25-34,Cebu,2008,23,12,3,1,0,3,5,3,[]
lmjack2019,,,Taylor Ridge-Illinois,2011,131,53,5,2,4,13,13,21,[]
hemish1,,,Tel Aviv-Israel,2009,61,226,6,0,1,15,75,135,[]
RANIAMO,,,Pefki-Greece,2009,145,235,6,3,2,28,39,164,[]
kirks668,,,Homewood-Illinois,2015,24,46,4,0,0,12,15,19,[]
Fotini_GR4EVER,woman,35-49,Athens-Greece,2012,154,36,4,0,2,3,21,12,[]
Viajera59,,,Monterey County-California,2008,34,127,6,2,4,7,39,75,[]
Dublor,Man,,Budapest-Hungary,2011,5,15,3,0,0,1,6,8,[]
sharonhR1863DC,woman,35-49,Dubai-United Arab Emirates,2009,487,104,6,0,1,13,51,40,[]
imontherdagain,,,Venice,2013,14,35,4,1,0,1,1,34,[]
scotsdrifter,man,50-64,Scotland,2009,206,78,5,2,4,8,38,26,"['Like a Local', 'Nature Lover', 'Beach Goer']"
LupoCW,,,,2017,16,35,4,0,0,2,13,20,[]
RuneStenseth,,,Alesund-Norway,2016,15,39,4,0,0,5,21,13,[]
iamshrivastava,man,18-24,Haridwar-India,2017,11,47,6,0,1,1,5,43,[]
MadeInLondon82,woman,25-34,London-United Kingdom,2010,132,28,4,2,1,10,13,3,[]
438rebekkas,,,,2013,5,17,3,1,1,1,4,10,[]
ChrisVK,,,Sint-Laureins,2008,442,40,5,1,1,7,26,5,[]
MaciekM208,man,25-34,Melbourne-Australia,2013,37,43,5,0,0,1,20,32,[]
601jeannal,,,La Vista-Nebraska,2017,10,7,3,0,0,0,3,4,[]
rachelcD1683SB,,,,2016,6,11,3,0,0,0,0,11,[]
irishm649,man,35-49,Zurich-Switzerland,2016,153,90,6,0,2,12,37,43,[]
MnxC,,,Bucharest-Romania,2012,58,144,6,1,2,9,34,100,[]
discoveryork,woman,35-49,York-UK,2008,84,22,4,1,1,0,7,14,[]
wgmsmom,,,Midlothian-Texas,2016,36,58,5,0,1,1,3,54,[]
AntoineN898,,,,2013,20,12,3,0,0,0,2,12,[]
Reslysten54,man,50-64,Vienna-Virginia,2013,571,935,6,3,42,221,479,207,[]
DoctorToxic,,,York-United Kingdom,2006,174,201,6,0,9,36,100,56,[]
Elwood_2405,Woman,,Split-Croatia,2017,31,48,5,0,0,3,3,45,[]
CLAUDEMontreal,man,,Montreal-Canada,2004,127,150,6,1,4,25,78,42,[]
289terezam,,,,2018,2,4,1,1,0,0,1,2,[]
alinadobre,,,Bucharest-Romania,2010,124,38,4,0,1,3,3,32,[]
Sherpa21409,woman,35-49,Lindenwold-New Jersey,2003,379,10,3,0,0,0,1,9,[]
brianhD8957WR,man,50-64,Newcastle upon Tyne-United Kingdom,2015,486,417,6,3,17,58,218,128,[]
lemon910,,,Calgary-Canada,2008,65,326,6,0,2,28,119,183,[]
ShawnG4,man,50-64,Dallas-Texas,2010,165,90,6,1,0,3,34,53,[]
LTgod,,,Panevezys-Lithuania,2018,7,33,4,3,5,11,4,12,[]
mcgotes,,,Dallas-Texas,2017,14,95,6,0,0,17,36,42,[]
1968azam,man,50-64,Dubai-United Arab Emirates,2014,226,154,6,0,5,8,44,100,[]
Jpmoves,,,Atlanta-Georgia,2015,15,30,4,0,1,1,18,10,[]
mirceattl,,,Bucharest-Romania,2011,11,21,3,0,3,5,6,8,[]
rebeccak757,woman,18-24,Richmond-Virginia,2015,155,249,6,1,14,44,73,117,"['Foodie', 'Urban Explorer', 'Like a Local', 'Thrill Seeker']"
petersC620JU,,,Molendinar-Australia,2012,38,68,6,1,2,7,40,18,[]
129rrj,,,Krakow-Poland,2010,10,32,4,0,1,1,5,26,[]
tomekb994,,,Poznan-Poland,2017,6,16,3,0,0,4,3,9,[]
305owenr,man,50-64,Edinburgh-United Kingdom,2010,132,235,6,3,6,24,73,133,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer', 'Like a Local']"
jorgenern,,,,2013,6,9,3,0,0,1,3,5,[]
somebody_13,,,Bucharest-Romania,2012,42,27,4,0,0,2,13,15,[]
waynep2502,man,35-49,Downham Market-United Kingdom,2014,93,446,6,4,10,102,148,188,"['Foodie', 'Shopping Fanatic', 'Beach Goer', 'Luxury Traveler']"
Suewebb2014,,,St Leonards-on-Sea-United Kingdom,2012,18,34,5,1,0,2,6,25,[]
914georgeh,,,Thousand Oaks,2013,18,32,4,1,2,3,2,24,[]
VictorianDavid,,,Newcastle upon Tyne-United Kingdom,2014,46,176,6,0,1,17,50,108,[]
O3542AVmarior,,,,2018,2,3,1,0,0,0,0,3,[]
tyke3d,man,35-49,Wakefield-United Kingdom,2013,94,59,5,2,2,7,21,28,[]
dariat759,,,,2018,,4,2,0,0,1,2,1,[]
ttocsnodrog_2000,man,50-64,North Bonneville-Washington,2010,399,755,6,0,2,100,516,146,[]
CarlMcN219,Man,,Sparta-New Jersey,2015,73,83,6,2,1,8,33,41,[]
O6159WLstephanier,,,Jumeirah-United Arab Emirates,2016,8,15,3,3,1,2,0,10,[]
31lorim,,,Swindon-United Kingdom,2014,47,186,6,0,2,7,71,108,[]
Grannyhubbard,woman,50-64,Street-United Kingdom,2008,100,92,6,9,1,5,5,72,[]
hanaxx,woman,50-64,Portsmouth,2010,70,142,6,1,3,7,55,79,[]
kaeineurope,woman,25-34,kaeineurope,2009,9,11,3,0,1,2,2,6,[]
Mackthedan,,,,2010,65,125,6,2,1,15,50,58,[]
ErikaManchesterUK,woman,50-64,Holmfirth-United Kingdom,2009,57,143,6,1,2,4,29,109,[]
AussieSK,Man,,Canberra-Australia,2011,146,324,6,6,1,36,141,141,[]
833tatiana2014,woman,50-64,Romania,2009,28,28,4,0,0,3,3,22,[]
Hobson00,man,35-49,Paphos District-Cyprus,2011,43,129,6,3,7,30,59,38,[]
mattgarvey,,,Basingstoke-United Kingdom,2015,36,73,6,3,3,6,14,47,[]
ChristopheGoed,,,Gilly-Switzerland,2012,29,53,5,1,5,11,14,23,[]
hevax,Woman,,Egham-United Kingdom,2016,85,208,6,2,10,28,65,104,[]
tahiry719,,,,2018,17,52,5,0,2,3,10,39,[]
JrainmakerBH,,,Los Angeles-California,2018,2,3,1,0,0,0,0,3,[]
clairej265,,,,2015,103,47,5,0,6,11,13,18,[]
lidguy,,,Israel,2008,572,290,6,2,4,47,109,129,[]
Patrickjeroen,,,London-United Kingdom,2018,2,5,2,0,2,1,1,1,[]
ruppar,,,London-United Kingdom,2015,20,47,4,0,2,3,29,14,[]
captdianne,,,Culver-Indiana,2016,35,64,5,1,4,12,17,36,[]
sharkhunter1973,,,Dayton-Ohio,2009,180,36,4,1,0,3,1,32,[]
X9311UIsarahb,,,London-United Kingdom,2016,826,176,6,0,1,12,82,89,[]
kschak,,,Singapore-Singapore,2011,232,252,6,1,4,33,121,93,[]
amysWI,,,Kaukauna-Wisconsin,2010,3,11,3,0,0,0,0,11,[]
ezric2017,,,Tel Aviv-Israel,2017,6,9,3,0,0,0,2,8,[]
askok,Woman,,Rotterdam-The Netherlands,2009,131,271,6,0,2,18,136,124,"['Art and Architecture Lover', 'Nature Lover', 'Peace and Quiet Seeker', 'Backpacker']"
lovearuba111,,,Garrison-Maryland,2014,14,38,4,2,0,2,6,30,[]
602libertadv,,,Toluca-Mexico,2018,83,201,6,26,3,13,1,159,[]
bumblebeegirl2015,woman,35-49,Oslo-Norway,2009,408,73,5,1,7,9,17,41,[]
wherelolawent,woman,35-49,Folkestone-United Kingdom,2007,247,555,6,1,13,54,161,327,[]
johni619,,,Brick-New Jersey,2013,6,13,3,1,0,0,2,10,[]
mariosk89gr,,,London-United Kingdom,2014,18,66,5,0,0,6,21,39,[]
psouk,,,Rhodes Town-Greece,2014,26,38,4,0,1,5,3,29,"['Art and Architecture Lover', 'Urban Explorer', 'Shopping Fanatic', 'Nightlife Seeker']"
lwbob,woman,25-34,cambridge,2006,42,78,5,1,4,2,28,43,[]
jerry_kef,man,25-34,Piraeus-Greece,2016,65,65,5,0,6,6,18,36,[]
R5652YXlisae,,,Oslo-Norway,2017,6,16,3,0,0,0,3,15,[]
liampedro,,,Benfica-Portugal,2018,5,4,1,0,1,0,2,1,[]
keesvogelesang,Man,,Haarlem-The Netherlands,2003,110,52,5,0,1,6,30,15,[]
bristolpeople,woman,35-49,Bristol-United Kingdom,2011,21,46,4,0,0,13,18,14,[]
GingerExplorer88,,,,2013,76,11,3,1,0,1,3,8,[]
