username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags,geocode
Miggro,,35-49,Groningen-The Netherlands,2015,159.0,429.0,6.0,8.0,22.0,94.0,178.0,127.0,"['Foodie', 'Urban Explorer', 'Peace and Quiet Seeker']",NL
BanaRae,,,Detroit-Michigan,2017,9.0,10.0,3.0,0.0,0.0,0.0,2.0,8.0,[],RU
bobfinboulder,Man,,Lakewood-Colorado,2015,7.0,33.0,4.0,0.0,1.0,6.0,11.0,15.0,[],US
rotelharp,woman,25-34,Manchester-United Kingdom,2012,90.0,520.0,6.0,11.0,49.0,100.0,229.0,135.0,[],GB
hkygoalie30,man,25-34,Chicago-Illinois,2017,20.0,43.0,4.0,0.0,0.0,1.0,16.0,24.0,[],US
adamw458,,,,2013,5.0,6.0,2.0,0.0,0.0,0.0,2.0,4.0,[],
penguin001,man,50-64,St. Lucia,2010,36.0,54.0,5.0,3.0,6.0,8.0,13.0,24.0,[],LC
PB0107,,,Boca Raton-Florida,2014,38.0,165.0,6.0,0.0,2.0,12.0,89.0,62.0,[],US
shedee,,35-49,Brisbane-Australia,2007,144.0,208.0,6.0,3.0,7.0,66.0,94.0,40.0,[],AU
jannicel2017,,,Hamburgsund-Sweden,2012,108.0,128.0,6.0,1.0,4.0,38.0,52.0,33.0,[],SE
luciak859,woman,50-64,Miami-Florida,2012,43.0,67.0,5.0,2.0,4.0,7.0,19.0,37.0,[],US
Inspire158127,,,,2009,5.0,9.0,3.0,0.0,0.0,0.0,1.0,9.0,[],
133AndrewB133,,,Gislingham-United Kingdom,2013,19.0,20.0,3.0,0.0,0.0,1.0,14.0,5.0,[],GB
FrequentFlier516395,,,Lima-Peru,2014,4.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,[],PE
508karenh508,,,Surfers Paradise-Australia,2013,134.0,333.0,6.0,3.0,11.0,62.0,160.0,103.0,[],AU
mswain28,woman,35-49,Chicago-IL,2008,121.0,107.0,6.0,2.0,3.0,2.0,18.0,82.0,[],US
chrissL3660XV,,,St. Petersburg-Florida,2018,3.0,4.0,2.0,0.0,0.0,0.0,1.0,3.0,[],US
EleniB141,,,,2012,9.0,12.0,3.0,0.0,0.0,3.0,5.0,5.0,[],
511geris,,,,2014,18.0,25.0,4.0,0.0,0.0,1.0,0.0,24.0,[],
Linehand11,,,Visalia-California,2016,45.0,97.0,6.0,0.0,0.0,4.0,46.0,47.0,[],US
Linda829,,,Vernon-Canada,2013,31.0,65.0,5.0,0.0,3.0,7.0,15.0,41.0,[],CA
victooria11,woman,18-24,Langley-Canada,2018,14.0,14.0,3.0,0.0,0.0,0.0,7.0,7.0,[],CA
ChicaEmery,man,35-49,Port of Spain-Trinidad,2015,59.0,209.0,6.0,0.0,2.0,44.0,108.0,65.0,[],TT
Perugirlabroad,woman,35-49,Philadelphia-Pennsylvania,2012,6.0,14.0,3.0,0.0,0.0,0.0,9.0,6.0,[],US
blueshark_m4ko,man,50-64,Warrnambool-Australia,2011,436.0,377.0,6.0,17.0,12.0,61.0,134.0,162.0,[],AU
Did0123,,,New Zealand,2007,117.0,21.0,3.0,1.0,0.0,1.0,3.0,16.0,[],NZ
LiketoeatCincinnati,man,50-64,Cincinnati-Ohio,2009,734.0,20.0,6.0,8.0,6.0,72.0,876.0,1.0,"['Foodie', 'History Buff', 'Beach Goer']",US
125KateH,,,Tacoma-Washington,2009,227.0,47.0,5.0,1.0,1.0,4.0,21.0,22.0,[],US
GeorgeWA,man,35-49,Mill Creek-Washington,2008,21.0,30.0,4.0,0.0,0.0,6.0,13.0,13.0,[],US
Z3591CPmariap,,,,2015,6.0,10.0,3.0,1.0,0.0,2.0,1.0,6.0,[],
MN8888,,,Liverpool-United Kingdom,2015,129.0,492.0,6.0,4.0,31.0,136.0,237.0,87.0,"['Foodie', 'Nature Lover', 'Luxury Traveler', 'Family Vacationer']",GB
langdale12,man,50-64,Maldon-United Kingdom,2010,59.0,156.0,6.0,3.0,5.0,27.0,70.0,53.0,[],GB
MichaelaFit,woman,18-24,Vancouver-Canada,2013,46.0,24.0,4.0,0.0,0.0,0.0,3.0,21.0,[],CA
RPVC,,,,2015,7.0,8.0,3.0,0.0,0.0,0.0,1.0,7.0,[],
glenp177,Man,,Hong Kong-China,2016,7.0,15.0,3.0,0.0,0.0,0.0,1.0,14.0,[],CN
Thecrazyindianfoodie,,,Mumbai-India,2016,35.0,57.0,6.0,2.0,0.0,0.0,3.0,53.0,[],IN
Amanzi888,,,,2009,106.0,41.0,4.0,1.0,4.0,9.0,7.0,20.0,[],
shoemaker_10,,,Newcastle upon Tyne-United Kingdom,2010,301.0,388.0,6.0,0.0,2.0,28.0,289.0,71.0,[],GB
epicure1151,,,Corpus Christi-Texas,2017,11.0,39.0,4.0,4.0,2.0,2.0,5.0,30.0,[],US
LyndaPW,,,Darwin-Australia,2012,42.0,148.0,6.0,0.0,5.0,11.0,76.0,61.0,[],AU
nanapiesie,man,25-34,Gothenburg-Sweden,2015,136.0,606.0,6.0,18.0,24.0,172.0,311.0,98.0,[],SE
vanimir,,,New York City-New York,2011,29.0,47.0,5.0,2.0,0.0,5.0,28.0,12.0,[],US
I8307BRrichardm,,,Las Vegas-Nevada,2013,84.0,288.0,6.0,17.0,13.0,41.0,143.0,95.0,[],CO
OurGreatEscapes,man,35-49,Edmonton-Canada,2011,199.0,200.0,6.0,4.0,6.0,21.0,70.0,99.0,[],CA
arpiliar,,,Volos-Greece,2018,,,,,,,,,[],GR
cralyn78,,,Athens-Greece,2018,,3.0,1.0,0.0,0.0,0.0,0.0,3.0,[],GR
Alnwickman,,,Northumberland,2008,37.0,22.0,3.0,0.0,1.0,1.0,5.0,15.0,[],GB
andrewjV9794PY,,,Leeds-United Kingdom,2017,5.0,8.0,3.0,1.0,0.0,0.0,1.0,6.0,[],GB
EleniJake,,,Adelaide-Australia,2018,2.0,5.0,2.0,0.0,0.0,0.0,1.0,5.0,[],AU
JoH1786,woman,50-64,Peregian Beach-Australia,2012,29.0,18.0,3.0,0.0,0.0,1.0,3.0,15.0,[],AU
bjj506,,,New York City-New York,2016,6.0,10.0,3.0,1.0,0.0,1.0,0.0,9.0,[],US
Pieolicious,,,Montreal-Canada,2015,74.0,74.0,5.0,2.0,5.0,9.0,23.0,48.0,[],CA
fireyphaarc,,,Brisbane-Australia,2016,7.0,16.0,3.0,1.0,0.0,1.0,2.0,13.0,[],AU
fandponeill,,,Great Falls-Montana,2016,7.0,32.0,4.0,1.0,1.0,2.0,6.0,23.0,[],US
glowbe_trottah,,,Toronto-Canada,2009,70.0,210.0,6.0,2.0,9.0,58.0,94.0,50.0,[],CA
curtdo,,,Atlanta-Georgia,2011,196.0,105.0,6.0,1.0,5.0,11.0,42.0,48.0,[],US
benjamind498,,,Bristol-United Kingdom,2014,17.0,32.0,4.0,4.0,5.0,4.0,6.0,13.0,[],GB
PazRi,,,Tel Aviv-Israel,2017,28.0,62.0,5.0,0.0,0.0,0.0,9.0,56.0,[],IL
361brunas,,,Lisbon-Portugal,2010,28.0,56.0,5.0,1.0,2.0,7.0,29.0,17.0,[],PT
